"","x"
"1",0
"2",2
"3",0
"4",3
"5",1
"6",0
"7",0
"8",0
"9",1
"10",0
"11",3
"12",2
"13",0
"14",1
"15",0
"16",0
"17",0
"18",1
"19",1
"20",0
"21",2
"22",0
"23",20
"24",0
"25",0
"26",8
"27",0
"28",0
"29",0
"30",1
"31",1
"32",18
"33",3
"34",1
"35",0
"36",0
"37",1
"38",3
"39",0
"40",2
"41",1
"42",3
"43",1
"44",2
"45",2
"46",0
"47",1
"48",2
"49",18
"50",0
"51",1
"52",0
"53",3
"54",3
"55",0
"56",2
"57",0
"58",18
"59",0
"60",5
"61",0
"62",0
"63",2
"64",1
"65",3
"66",5
"67",0
"68",2
"69",1
"70",0
"71",0
"72",0
"73",3
"74",8
"75",9
"76",6
"77",0
"78",1
"79",0
"80",0
"81",5
"82",6
"83",2
"84",0
"85",0
"86",1
"87",4
"88",4
"89",0
"90",0
"91",0
"92",0
"93",0
"94",1
"95",0
"96",1
"97",1
"98",3
"99",0
"100",0
"101",0
"102",0
"103",0
"104",3
"105",0
"106",11
"107",0
"108",0
"109",0
"110",4
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",20
"118",2
"119",9
"120",3
"121",1
"122",0
"123",0
"124",0
"125",5
"126",0
"127",0
"128",0
"129",3
"130",0
"131",0
"132",3
"133",0
"134",3
"135",0
"136",1
"137",2
"138",0
"139",0
"140",8
"141",1
"142",0
"143",3
"144",0
"145",3
"146",0
"147",1
"148",0
"149",0
"150",6
"151",3
"152",3
"153",0
"154",0
"155",1
"156",0
"157",3
"158",0
"159",0
"160",0
"161",2
"162",2
"163",0
"164",0
"165",0
"166",0
"167",3
"168",0
"169",14
"170",0
"171",0
"172",0
"173",2
"174",1
"175",8
"176",1
"177",0
"178",1
"179",0
"180",0
"181",10
"182",0
"183",0
"184",2
"185",0
"186",0
"187",0
"188",3
"189",3
"190",0
"191",1
"192",0
"193",2
"194",0
"195",2
"196",5
"197",2
"198",0
"199",2
"200",2
"201",0
"202",0
"203",5
"204",0
"205",0
"206",1
"207",0
"208",6
"209",0
"210",0
"211",0
"212",21
"213",3
"214",1
"215",1
"216",0
"217",2
"218",2
"219",2
"220",0
"221",0
"222",0
"223",0
"224",2
"225",2
"226",0
"227",0
"228",3
"229",7
"230",0
"231",0
"232",5
"233",0
"234",0
"235",6
"236",0
"237",0
"238",0
"239",0
"240",0
"241",12
"242",0
"243",0
"244",1
"245",0
"246",1
"247",5
"248",0
"249",0
"250",0
"251",5
"252",0
"253",1
"254",0
"255",1
"256",0
"257",0
"258",0
"259",0
"260",0
"261",2
"262",2
"263",0
"264",0
"265",2
"266",0
"267",0
"268",0
"269",10
"270",0
"271",1
"272",6
"273",0
"274",7
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",0
"282",0
"283",13
"284",5
"285",3
"286",1
"287",1
"288",0
"289",0
"290",0
"291",0
"292",5
"293",0
"294",2
"295",2
"296",1
"297",0
"298",0
"299",1
"300",1
"301",0
"302",0
"303",0
"304",0
"305",3
"306",14
"307",14
"308",13
"309",0
"310",1
"311",1
"312",2
"313",4
"314",7
"315",1
"316",2
"317",0
"318",0
"319",6
"320",0
"321",1
"322",1
"323",0
"324",0
"325",0
"326",0
"327",0
"328",3
"329",3
"330",1
"331",5
"332",2
"333",0
"334",6
"335",16
"336",1
"337",2
"338",9
"339",2
"340",43
"341",1
"342",2
"343",1
"344",0
"345",0
"346",2
"347",0
"348",0
"349",4
"350",0
"351",0
"352",1
"353",0
"354",0
"355",0
"356",7
"357",0
"358",0
"359",2
"360",2
"361",0
"362",0
"363",0
"364",1
"365",0
"366",0
"367",3
"368",1
"369",4
"370",10
"371",10
"372",4
"373",0
"374",0
"375",0
"376",0
"377",0
"378",6
"379",1
"380",2
"381",0
"382",0
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0
"389",13
"390",0
"391",0
"392",0
"393",0
"394",0
"395",8
"396",0
"397",2
"398",5
"399",0
"400",0
"401",0
"402",0
"403",0
"404",1
"405",0
"406",1
"407",2
"408",0
"409",7
"410",0
"411",0
"412",29
"413",1
"414",7
"415",3
"416",1
"417",0
"418",0
"419",1
"420",1
"421",0
"422",3
"423",0
"424",0
"425",0
"426",2
"427",3
"428",1
"429",0
"430",3
"431",1
"432",1
"433",0
"434",0
"435",1
"436",0
"437",0
"438",37
"439",3
"440",12
"441",0
"442",0
"443",0
"444",0
"445",8
"446",0
"447",1
"448",0
"449",17
"450",0
"451",2
"452",6
"453",2
"454",0
"455",0
"456",0
"457",3
"458",7
"459",0
"460",1
"461",11
"462",0
"463",0
"464",0
"465",0
"466",17
"467",0
"468",0
"469",1
"470",3
"471",2
"472",7
"473",0
"474",3
"475",0
"476",0
"477",0
"478",0
"479",3
"480",0
"481",0
"482",2
"483",3
"484",6
"485",0
"486",11
"487",0
"488",7
"489",0
"490",0
"491",2
"492",0
"493",0
"494",2
"495",13
"496",2
"497",2
"498",2
"499",0
"500",0
"501",0
"502",7
"503",0
"504",0
"505",0
"506",0
"507",7
"508",0
"509",0
"510",1
"511",3
"512",0
"513",3
"514",1
"515",0
"516",3
"517",1
"518",2
"519",0
"520",0
"521",0
"522",1
"523",0
"524",11
"525",3
"526",0
"527",3
"528",1
"529",0
"530",1
"531",7
"532",3
"533",0
"534",0
"535",0
"536",3
"537",0
"538",1
"539",0
"540",1
"541",0
"542",0
"543",0
"544",6
"545",10
"546",2
"547",0
"548",0
"549",2
"550",1
"551",0
"552",2
"553",5
"554",5
"555",2
"556",0
"557",0
"558",2
"559",0
"560",0
"561",5
"562",0
"563",9
"564",0
"565",9
"566",0
"567",12
"568",10
"569",1
"570",8
"571",1
"572",0
"573",0
"574",0
"575",9
"576",18
"577",2
"578",0
"579",2
"580",2
"581",0
"582",0
"583",0
"584",0
"585",0
"586",4
"587",3
"588",0
"589",0
"590",2
"591",0
"592",0
"593",0
"594",0
"595",0
"596",0
"597",0
"598",1
"599",0
"600",4
"601",0
"602",0
"603",0
"604",0
"605",4
"606",0
"607",3
"608",16
"609",0
"610",10
"611",2
"612",3
"613",0
"614",1
"615",0
"616",10
"617",3
"618",8
"619",0
"620",0
"621",10
"622",10
"623",1
"624",0
"625",3
"626",0
"627",1
"628",0
"629",0
"630",3
"631",1
"632",2
"633",0
"634",2
"635",15
"636",0
"637",0
"638",0
"639",0
"640",0
"641",2
"642",2
"643",1
"644",1
"645",0
"646",1
"647",0
"648",0
"649",1
"650",0
"651",27
"652",0
"653",0
"654",0
"655",15
"656",0
"657",6
"658",0
"659",0
"660",0
"661",9
"662",0
"663",1
"664",0
"665",0
"666",0
"667",4
"668",0
"669",0
"670",0
"671",0
"672",0
"673",17
"674",0
"675",1
"676",3
"677",0
"678",0
"679",0
"680",2
"681",2
"682",1
"683",0
"684",17
"685",1
"686",0
"687",0
"688",0
"689",8
"690",8
"691",1
"692",1
"693",0
"694",1
"695",2
"696",3
"697",0
"698",0
"699",1
"700",0
"701",0
"702",10
"703",0
"704",0
"705",10
"706",0
"707",0
"708",0
"709",8
"710",0
"711",0
"712",1
"713",2
"714",0
"715",1
"716",8
"717",0
"718",4
"719",0
"720",0
"721",0
"722",0
"723",0
"724",0
"725",1
"726",1
"727",3
"728",0
"729",3
"730",0
"731",0
"732",0
"733",1
"734",0
"735",1
"736",6
"737",1
"738",0
"739",1
"740",0
"741",0
"742",3
"743",0
"744",2
"745",0
"746",1
"747",0
"748",0
"749",0
"750",0
"751",0
"752",0
"753",0
"754",3
"755",0
"756",2
"757",5
"758",0
"759",1
"760",0
"761",0
"762",9
"763",1
"764",1
"765",9
"766",2
"767",1
"768",0
"769",0
"770",2
"771",0
"772",5
"773",5
"774",0
"775",0
"776",0
"777",0
"778",1
"779",0
"780",0
"781",4
"782",0
"783",0
"784",0
"785",0
"786",9
"787",1
"788",0
"789",6
"790",0
"791",22
"792",1
"793",0
"794",0
"795",0
"796",6
"797",3
"798",0
"799",4
"800",0
"801",13
"802",0
"803",0
"804",0
"805",0
"806",0
"807",3
"808",0
"809",3
"810",0
"811",1
"812",0
"813",4
"814",1
"815",0
"816",0
"817",7
"818",0
"819",0
"820",0
"821",9
"822",0
"823",0
"824",0
"825",0
"826",0
"827",0
"828",0
"829",0
"830",11
"831",2
"832",0
"833",2
"834",0
"835",1
"836",1
"837",2
"838",0
"839",6
"840",0
"841",0
"842",0
"843",1
"844",1
"845",0
"846",0
"847",0
"848",0
"849",0
"850",6
"851",1
"852",0
"853",1
"854",0
"855",10
"856",3
"857",5
"858",0
"859",6
"860",0
"861",0
"862",2
"863",1
"864",3
"865",2
"866",2
"867",0
"868",0
"869",5
"870",3
"871",0
"872",0
"873",0
"874",5
"875",9
"876",0
"877",5
"878",0
"879",2
"880",0
"881",0
"882",0
"883",0
"884",0
"885",3
"886",1
"887",0
"888",1
"889",0
"890",2
"891",0
"892",0
"893",0
"894",1
"895",0
"896",0
"897",0
"898",1
"899",1
"900",0
"901",2
"902",0
"903",3
"904",0
"905",0
"906",0
"907",1
"908",0
"909",3
"910",0
"911",0
"912",0
"913",8
"914",0
"915",0
"916",1
"917",0
"918",0
"919",0
"920",1
"921",4
"922",0
"923",5
"924",1
"925",1
"926",0
"927",0
"928",0
"929",2
"930",12
"931",0
"932",0
"933",0
"934",0
"935",0
"936",1
"937",4
"938",4
"939",0
"940",8
"941",1
"942",0
"943",4
"944",1
"945",0
"946",4
"947",0
"948",0
"949",6
"950",3
"951",0
"952",1
"953",0
"954",3
"955",8
"956",2
"957",0
"958",0
"959",0
"960",2
"961",2
"962",2
"963",0
"964",0
"965",6
"966",0
"967",6
"968",0
"969",0
"970",0
"971",2
"972",0
"973",0
"974",0
"975",0
"976",0
"977",0
"978",0
"979",0
"980",12
"981",0
"982",0
"983",9
"984",0
"985",0
"986",28
"987",2
"988",3
"989",5
"990",4
"991",0
"992",0
"993",0
"994",0
"995",2
"996",1
"997",0
"998",0
"999",0
"1000",0
"1001",1
"1002",0
"1003",0
"1004",0
"1005",0
"1006",1
"1007",0
"1008",1
"1009",1
"1010",0
"1011",4
"1012",1
"1013",5
"1014",6
"1015",17
"1016",0
"1017",0
"1018",0
"1019",0
"1020",0
"1021",0
"1022",1
"1023",0
"1024",4
"1025",0
"1026",0
"1027",0
"1028",1
"1029",0
"1030",0
"1031",0
"1032",2
"1033",0
"1034",2
"1035",6
"1036",0
"1037",5
"1038",1
"1039",0
"1040",1
"1041",0
"1042",3
"1043",2
"1044",4
"1045",7
"1046",0
"1047",0
"1048",0
"1049",3
"1050",0
"1051",0
"1052",0
"1053",0
"1054",17
"1055",1
"1056",1
"1057",0
"1058",0
"1059",0
"1060",1
"1061",4
"1062",10
"1063",3
"1064",2
"1065",0
"1066",0
"1067",0
"1068",0
"1069",14
"1070",0
"1071",0
"1072",0
"1073",0
"1074",1
"1075",0
"1076",2
"1077",0
"1078",0
"1079",0
"1080",0
"1081",0
"1082",5
"1083",1
"1084",1
"1085",2
"1086",0
"1087",2
"1088",9
"1089",2
"1090",2
"1091",0
"1092",0
"1093",0
"1094",0
"1095",0
"1096",1
"1097",0
"1098",0
"1099",2
"1100",15
"1101",2
"1102",0
"1103",2
"1104",11
"1105",0
"1106",0
"1107",8
"1108",7
"1109",0
"1110",0
"1111",2
"1112",0
"1113",1
"1114",1
"1115",1
"1116",0
"1117",3
"1118",0
"1119",0
"1120",2
"1121",0
"1122",1
"1123",0
"1124",1
"1125",2
"1126",3
"1127",0
"1128",0
"1129",1
"1130",0
"1131",0
"1132",0
"1133",0
"1134",8
"1135",0
"1136",0
"1137",5
"1138",0
"1139",0
"1140",0
"1141",2
"1142",0
"1143",3
"1144",0
"1145",0
"1146",24
"1147",2
"1148",1
"1149",0
"1150",1
"1151",0
"1152",1
"1153",2
"1154",0
"1155",16
"1156",1
"1157",0
"1158",3
"1159",9
"1160",1
"1161",2
"1162",5
"1163",0
"1164",27
"1165",2
"1166",0
"1167",0
"1168",0
"1169",0
"1170",1
"1171",0
"1172",0
"1173",0
"1174",0
"1175",0
"1176",4
"1177",0
"1178",0
"1179",0
"1180",0
"1181",1
"1182",0
"1183",0
"1184",2
"1185",0
"1186",0
"1187",0
"1188",0
"1189",0
"1190",0
"1191",0
"1192",0
"1193",0
"1194",0
"1195",2
"1196",6
"1197",0
"1198",0
"1199",0
"1200",4
"1201",0
"1202",0
"1203",1
"1204",0
"1205",0
"1206",2
"1207",1
"1208",1
"1209",1
"1210",5
"1211",3
"1212",2
"1213",0
"1214",0
"1215",0
"1216",3
"1217",8
"1218",0
"1219",0
"1220",0
"1221",0
"1222",2
"1223",2
"1224",1
"1225",0
"1226",13
"1227",0
"1228",6
"1229",3
"1230",1
"1231",0
"1232",3
"1233",0
"1234",1
"1235",0
"1236",2
"1237",10
"1238",0
"1239",9
"1240",5
"1241",0
"1242",1
"1243",0
"1244",0
"1245",1
"1246",3
"1247",0
"1248",0
"1249",0
"1250",4
"1251",0
"1252",13
"1253",0
"1254",0
"1255",0
"1256",3
"1257",1
"1258",6
"1259",8
"1260",4
"1261",3
"1262",0
"1263",4
"1264",0
"1265",0
"1266",2
"1267",4
"1268",5
"1269",8
"1270",0
"1271",0
"1272",3
"1273",0
"1274",0
"1275",2
"1276",0
"1277",0
"1278",0
"1279",1
"1280",1
"1281",22
"1282",1
"1283",0
"1284",1
"1285",3
"1286",11
"1287",0
"1288",3
"1289",18
"1290",3
"1291",0
"1292",0
"1293",0
"1294",1
"1295",0
"1296",0
"1297",0
"1298",2
"1299",0
"1300",4
"1301",0
"1302",3
"1303",3
"1304",2
"1305",0
"1306",0
"1307",1
"1308",0
"1309",0
"1310",1
"1311",10
"1312",0
"1313",0
"1314",18
"1315",1
"1316",0
"1317",0
"1318",1
"1319",2
"1320",0
"1321",0
"1322",0
"1323",0
"1324",0
"1325",5
"1326",0
"1327",0
"1328",3
"1329",3
"1330",0
"1331",0
"1332",4
"1333",9
"1334",0
"1335",7
"1336",2
"1337",3
"1338",0
"1339",0
"1340",0
"1341",0
"1342",2
"1343",2
"1344",14
"1345",4
"1346",0
"1347",0
"1348",0
"1349",2
"1350",3
"1351",2
"1352",1
"1353",2
"1354",0
"1355",6
"1356",0
"1357",2
"1358",3
"1359",0
"1360",0
"1361",0
"1362",2
"1363",1
"1364",0
"1365",3
"1366",1
"1367",11
"1368",0
"1369",4
"1370",7
"1371",0
"1372",0
"1373",0
"1374",0
"1375",0
"1376",3
"1377",15
"1378",0
"1379",0
"1380",0
"1381",3
"1382",2
"1383",0
"1384",1
"1385",0
"1386",0
"1387",9
"1388",0
"1389",2
"1390",1
"1391",0
"1392",2
"1393",0
"1394",0
"1395",1
"1396",0
"1397",0
"1398",0
"1399",5
"1400",2
"1401",2
"1402",0
"1403",9
"1404",0
"1405",0
"1406",0
"1407",7
"1408",3
"1409",0
"1410",0
"1411",0
"1412",7
"1413",6
"1414",0
"1415",3
"1416",6
"1417",0
"1418",0
"1419",11
"1420",1
"1421",0
"1422",6
"1423",2
"1424",0
"1425",3
"1426",0
"1427",1
"1428",0
"1429",2
"1430",11
"1431",14
"1432",0
"1433",4
"1434",0
"1435",6
"1436",4
"1437",1
"1438",0
"1439",1
"1440",0
"1441",1
"1442",0
"1443",0
"1444",2
