reduced_dim_0,reduced_dim_1,reduced_dim_2,reduced_dim_3,reduced_dim_4,reduced_dim_5,reduced_dim_6,reduced_dim_7,reduced_dim_8,reduced_dim_9,label
11.941886,3.7560313,7.308464,3.4023693,3.9736984,4.9876714,5.203629,2.2355614,4.6078687,5.6221795,7
6.047972,8.8904085,7.4070544,6.041087,3.8861308,4.8771596,5.287724,2.6116111,3.908944,5.219898,3
8.478367,8.710034,6.667981,5.831013,4.4252543,3.488791,4.934206,2.9017217,4.792168,5.9083815,8
11.884065,4.542594,6.51477,4.7371693,3.9546907,3.5920906,5.288018,2.9965734,5.0244155,6.006236,9
6.169719,8.712846,7.704076,6.1008058,4.526234,4.676512,5.106483,2.7781026,4.067988,5.360626,3
11.865408,4.0059333,6.4588447,4.8950157,3.4889836,3.7977216,5.4109297,2.8652074,4.8887153,5.9192605,9
12.097717,4.2857094,7.435382,3.5976796,4.6795096,4.5643644,4.9768887,2.4240267,4.861257,5.800366,7
11.94746,4.1523476,7.169626,3.6969998,4.1287065,4.6107564,5.1752853,2.4376438,4.7464137,5.733491,7
6.3343077,7.9090905,6.329446,6.3954678,3.6783724,4.049934,5.358614,3.0381932,4.171693,5.4153833,5
11.594407,3.0489542,5.7198114,4.436684,2.616498,3.8247654,5.8858714,3.1154075,4.6936274,5.8969707,4
8.238145,7.3589616,8.116824,3.0767052,6.552811,4.837743,4.564928,2.621566,4.780746,5.863248,2
6.104298,8.160883,6.3331943,6.5757675,3.4243498,4.134951,5.3538656,2.8730884,4.141157,5.465335,5
3.7091258,6.4840803,2.9135344,4.630563,4.544282,3.401677,5.0790057,3.346015,4.8035207,5.990674,6
8.051814,8.472519,6.413409,6.0167994,3.4319336,3.8478072,5.2121215,2.677638,4.501788,5.7461486,8
9.885622,8.9103565,6.020355,2.1005392,4.521964,4.0509357,5.116867,2.9963825,4.740269,5.377208,1
11.452522,4.824306,6.841867,3.4811974,3.8463361,4.5641294,5.3346405,2.5535579,4.6590023,5.6538672,7
11.52769,2.7467866,5.8948913,4.5045333,2.3111324,4.2266126,5.9098225,2.8238845,4.5231194,5.742637,4
6.7073975,6.6320233,6.765196,6.3216877,5.168033,3.670269,5.241907,3.6857283,4.305808,5.4246197,8
0.93444735,5.8142076,6.3905187,5.7453365,4.997734,4.446892,5.0042057,3.0597663,4.394317,6.0524206,0
11.77042,4.9964795,7.0615153,4.0681534,5.086282,3.7623012,4.914338,2.9362383,5.1417656,6.057321,7
11.517613,4.00382,6.3003073,4.172307,2.8416004,4.3406467,5.6886907,2.6908462,4.5639377,5.679121,9
6.636202,9.001478,7.0966015,6.2375007,3.2744796,4.6876,5.3575444,2.4817588,3.987268,5.329139,3
9.572572,9.1017475,5.666347,2.2119384,3.4286776,4.33431,5.4334283,2.8223572,4.4716287,5.143729,1
11.773762,3.5588143,7.0814047,3.5898428,3.7859852,4.857801,5.3066816,2.3688123,4.5914392,5.650311,7
3.4835165,6.475089,3.0701842,4.745434,4.603758,3.466767,5.0433235,3.333729,4.7927976,5.9949603,6
10.175717,7.736111,6.8804574,2.9248517,6.3469954,3.5205824,4.6186757,3.3306882,5.1881986,5.862191,5
5.9793744,8.870186,6.9463863,6.3677998,3.2365267,4.740393,5.380818,2.5137053,3.9124634,5.2972746,3
7.225589,8.702462,7.3181014,5.8528147,3.9336722,4.5373306,5.2361107,2.6668773,4.1499176,5.382808,3
6.85514,8.974692,7.345398,5.955291,3.6611438,4.737621,5.297622,2.5484235,4.014307,5.2938676,3
1.8916476,5.357888,2.4931273,4.9342327,4.3389354,3.5780492,5.1152306,3.3398328,4.7052298,6.1568522,6
0.7322729,5.256751,7.1848035,5.6587625,5.823823,4.382747,4.8264856,3.4092562,4.3751807,6.037844,0
7.678282,6.7603965,8.519642,2.9465404,7.0473447,5.184254,4.492264,2.5636208,4.7585983,5.9436545,8
11.823841,4.3188505,6.2445865,4.6942205,4.7007184,2.901864,5.188243,3.5531218,5.341624,6.3496757,4
11.597936,4.027422,6.4057555,4.3142395,2.9530334,4.3235416,5.6136413,2.6503134,4.604258,5.687445,9
6.8187904,6.4663196,6.6139197,6.0858784,5.33467,3.5384068,5.163678,3.819855,4.4316278,5.4323525,5
10.407771,7.881796,6.8405113,3.201516,6.5632896,3.2109406,4.5193915,3.4008682,5.3340373,5.9751654,1
8.752897,8.4665575,6.7930655,6.118473,4.743036,3.1992803,4.826906,3.0132444,4.9559236,6.081164,8
11.4916725,5.389364,7.1097236,3.713877,5.0471168,4.006372,4.935642,2.8309183,5.033596,5.9426174,7
