reduced_dim_0,reduced_dim_1,label
14.350858,3.0054004,7
4.436869,7.751939,3
7.716222,6.6145263,8
11.579969,2.6686907,9
4.933253,8.356964,3
11.791634,1.9105952,9
13.706552,4.1460676,7
13.773557,3.2032247,7
4.932293,5.459016,5
11.831497,0.12892227,4
8.1732645,9.633578,2
4.538875,5.5987706,5
3.0149202,1.9807527,6
6.62904,5.9209847,8
12.05629,9.959115,1
13.083107,2.8031924,7
12.568688,-0.16546576,4
6.553474,3.7038069,8
-0.34345496,3.8960385,0
11.842096,4.2976975,7
12.949054,1.466359,9
4.7194104,6.827196,3
11.9811325,11.225739,1
14.081189,3.2238598,7
2.9787493,1.8960274,6
10.97848,7.4085846,5
4.049749,6.891616,3
5.7541914,7.3251305,3
5.2703304,7.2777286,3
1.1638219,0.7277544,6
-1.2913991,5.0589404,0
7.5675435,10.795547,8
10.170169,2.8294487,4
12.954025,1.5272602,9
6.6595774,3.5624247,5
10.841028,7.0286984,1
8.284228,5.985666,8
12.014681,4.284102,7
8.198222,6.2912273,8
7.6889577,6.247229,8
-1.1645454,3.8415391,0
8.436724,6.836212,8
9.322515,9.377114,2
-1.6537322,4.0468817,0
2.653127,2.0711071,8
6.155943,4.5985007,5
5.3511934,4.7071753,5
13.252003,3.313743,2
8.725007,10.061841,2
0.0913833,4.309201,0
11.2613125,10.697848,1
5.8870935,3.6989253,5
11.915425,2.5212,9
5.365289,7.280956,3
-0.5867826,5.3839645,0
1.4285587,1.0148352,6
8.061986,9.656025,2
7.248145,10.276405,2
3.6290042,1.3503994,6
11.096131,1.2691324,4
-1.2480075,4.553188,0
10.534117,7.462558,1
8.367287,6.3033237,8
11.572379,1.156255,4
0.70891863,4.8232913,0
8.302308,9.703984,2
7.3274956,2.8544888,4
13.145475,4.232624,7
13.009871,2.5912213,7
12.185566,-0.59977144,4
10.485666,2.219696,4
-0.54202735,3.6325555,0
10.352925,6.286151,1
10.326101,1.3567499,4
6.805561,6.109272,8
1.6227492,1.412695,6
0.27818406,4.20544,0
0.13431998,4.9672084,0
-0.23847832,5.178829,0
