reduced_dim_0,reduced_dim_1,reduced_dim_2,reduced_dim_3,reduced_dim_4,reduced_dim_5,reduced_dim_6,reduced_dim_7,reduced_dim_8,reduced_dim_9,reduced_dim_10,reduced_dim_11,reduced_dim_12,reduced_dim_13,reduced_dim_14,reduced_dim_15,reduced_dim_16,reduced_dim_17,reduced_dim_18,reduced_dim_19,reduced_dim_20,reduced_dim_21,reduced_dim_22,reduced_dim_23,reduced_dim_24,reduced_dim_25,reduced_dim_26,reduced_dim_27,reduced_dim_28,reduced_dim_29,label
11.665355,3.2243392,7.506569,3.6655455,4.395768,4.9682198,4.6207423,2.1797945,5.672251,4.270344,3.4898653,7.3375134,5.0478225,5.9622765,5.6642103,6.804823,4.6205626,5.7366915,4.733375,6.320207,5.1516137,5.39559,4.816891,6.6569123,4.2917824,5.356687,4.7635865,6.652695,5.2292295,4.79414,7
6.241105,8.604198,7.4830813,6.317213,3.8203049,5.1621647,5.1875267,2.727566,5.8602633,4.6040225,3.2147915,7.598905,5.020249,5.9779153,5.606196,6.7448573,4.776366,5.7510185,4.8351326,6.247161,5.085533,5.1796956,4.632,6.540466,4.1976724,5.307654,4.8927884,6.6952357,5.3163395,4.71171,3
8.600869,8.382378,6.7190094,6.0620856,4.367321,6.369255,4.836629,2.6112561,5.0051937,3.908454,3.36591,7.0157413,4.9297466,5.7662253,5.5877705,6.7902102,4.967379,5.739178,4.7576766,6.2966995,5.203635,5.3301086,4.7174797,6.520942,4.1713505,5.3625293,4.861843,6.725249,5.2107587,4.6752996,8
11.721868,4.045809,6.7075214,4.898391,4.195387,6.2992077,4.744514,2.7803135,5.1760345,3.9441702,3.3612041,7.1501193,5.001998,5.811681,5.6543994,6.830871,4.832699,5.8064523,4.7139025,6.279105,5.1497536,5.4211974,4.834983,6.622825,4.336831,5.4045844,4.839633,6.6672316,5.224406,4.6972528,9
6.3956504,8.478335,7.7405825,6.2959614,4.48595,5.4407096,5.0387545,2.939765,5.6434927,4.513013,3.1968534,7.4635096,5.050576,5.945502,5.582415,6.702488,4.7618876,5.7142673,4.861626,6.253634,5.1261535,5.207426,4.6060534,6.495823,4.161477,5.3114653,4.916909,6.6610756,5.353799,4.7167635,3
11.675331,3.5284615,6.6503844,5.0477667,3.7785535,6.1055455,4.8137946,2.6577945,5.3463955,4.017671,3.356511,7.2553043,4.990236,5.843142,5.6580524,6.845032,4.806844,5.8329988,4.7178745,6.280996,5.1260743,5.413685,4.855316,6.656865,4.3607006,5.395855,4.833853,6.669806,5.214734,4.7028184,9
11.849739,3.758122,7.6209188,3.721091,5.0814443,5.376359,4.4642487,2.394964,5.3596225,4.1329556,3.4847648,7.1439214,5.058774,5.902072,5.649679,6.7798204,4.673719,5.703125,4.733018,6.3291025,5.195897,5.4270315,4.795348,6.615999,4.258619,5.377825,4.782419,6.641859,5.2493234,4.7780933,7
11.681325,3.6440318,7.3570156,3.8698442,4.4698033,5.283438,4.635015,2.3405402,5.5209723,4.1856074,3.463157,7.2727475,5.039764,5.922284,5.6609445,6.8098593,4.6776423,5.7443056,4.725184,6.3097196,5.154623,5.4005513,4.8134174,6.640206,4.295216,5.3716183,4.781417,6.6587276,5.2319293,4.7697096,7
6.6064744,7.539685,6.4344764,6.583357,3.5107703,5.9194827,5.1999927,2.971254,5.7285085,4.394164,3.1980274,7.4699607,4.995384,5.892499,5.6446066,6.758938,4.893041,5.8292446,4.8061457,6.2052913,5.1024556,5.2354097,4.6973696,6.5549765,4.2742224,5.333669,4.9157996,6.663521,5.266963,4.6635165,5
11.654299,2.6389983,6.013773,4.6392455,2.7550914,5.942974,5.2537518,2.6012318,5.635758,3.9977248,3.3444552,7.496839,4.983351,5.8604865,5.706652,6.916012,4.775003,5.8942103,4.679789,6.1960497,5.0401816,5.3284492,4.8921146,6.6486144,4.4433417,5.360487,4.8055034,6.70512,5.147074,4.714437,4
8.283768,7.4108562,8.167701,3.1026714,6.51526,4.997834,4.611051,2.637365,5.1439776,4.072575,3.516089,7.0984035,5.108792,5.93941,5.6459174,6.733743,4.654364,5.537779,4.780685,6.3003926,5.2535515,5.3218703,4.644875,6.4387302,4.0624213,5.3935385,4.8249717,6.682868,5.372143,4.8039765,2
6.408124,7.7642612,6.447209,6.826412,3.3010905,5.8302164,5.205512,2.7739608,5.709873,4.348133,3.2238557,7.4648304,4.954915,5.8894773,5.626244,6.7762036,4.9126315,5.8277,4.8028812,6.230461,5.104369,5.239285,4.7100143,6.576161,4.2614307,5.330523,4.9084387,6.6858687,5.2535315,4.6663547,5
3.8781328,6.40898,2.7166514,4.7778525,4.4234977,6.860918,5.011496,3.2029388,5.365058,3.6134493,3.4899466,6.862234,4.9412584,5.843648,5.996382,6.80679,5.2212067,5.8085365,4.7182364,6.109281,5.3184137,5.3748035,4.852022,6.499963,4.2483406,5.6337867,4.918472,6.6092677,5.2569504,4.6591,6
8.23244,8.019123,6.5117645,6.3621836,3.36386,5.949465,5.0426245,2.3269014,5.35099,4.060593,3.3606143,7.252496,4.885751,5.8229585,5.59699,6.8411937,4.9600606,5.800132,4.7407246,6.2950296,5.138335,5.296694,4.759949,6.5998774,4.2328362,5.3459644,4.8432794,6.756672,5.174296,4.6716075,8
10.016907,8.574813,6.163466,2.3047686,4.2166696,5.6089897,5.0723166,2.7934883,5.440285,4.18635,3.4887354,7.22479,5.0636234,5.8364964,5.767849,6.831006,4.8907547,5.742659,4.625279,6.166277,5.1226435,5.2744775,4.7046666,6.472683,4.2775183,5.367777,4.753872,6.752427,5.16055,4.6924086,1
11.281118,4.323679,7.0765796,3.6831791,4.121486,5.234513,4.821076,2.3618615,5.5909996,4.2033014,3.4557574,7.350838,5.0311146,5.9249697,5.681152,6.839165,4.7058873,5.7613826,4.7025084,6.274468,5.119802,5.3570495,4.805276,6.625939,4.3100038,5.3686895,4.7758713,6.6901336,5.2134905,4.7568126,7
11.529697,2.2800708,6.2740808,4.7426314,2.6112492,5.5440116,5.1648817,2.3571982,5.8386374,4.1622224,3.3661332,7.5794053,4.9751253,5.921476,5.697119,6.9054832,4.723742,5.897146,4.7003646,6.23796,5.039797,5.345593,4.9013705,6.7051535,4.43563,5.3548584,4.7946854,6.697,5.1578827,4.730628,4
7.0441647,6.383598,6.8011756,6.1408253,4.9522877,6.551958,4.9921393,3.8742716,5.5425606,4.446426,3.0283573,7.3552637,5.1657243,5.862216,5.6428585,6.6173573,4.796023,5.7981076,4.8914886,6.131739,5.147118,5.262218,4.618371,6.43328,4.272148,5.33155,5.009008,6.5130367,5.389417,4.6572886,8
1.0202398,5.638147,6.2312617,5.817902,5.0863028,5.5433607,5.0989947,3.070614,5.5587206,3.911364,3.4681756,7.288137,4.96611,5.8864865,5.6825056,6.645216,4.86565,5.71333,4.818591,6.1974945,5.2134895,5.370631,4.6879573,6.4620495,4.2406178,5.3263097,4.96318,6.522908,5.4696636,4.796425,0
11.67217,4.5135303,7.1832767,4.078088,5.306637,6.1750345,4.566214,2.8322902,5.010241,3.8776443,3.4239082,6.9952064,5.058458,5.801691,5.653208,6.7815514,4.7789607,5.7087917,4.723497,6.281655,5.2106934,5.41933,4.7818675,6.5407553,4.259429,5.3956356,4.8240776,6.646366,5.250979,4.7375727,7
11.345405,3.6634703,6.555439,4.4414263,3.1360943,5.4844213,5.058635,2.3942342,5.698434,4.181341,3.3886573,7.47972,4.9886184,5.9108834,5.68611,6.887297,4.750784,5.8468547,4.69153,6.2460957,5.062293,5.338319,4.851761,6.6675167,4.385214,5.3638124,4.7908206,6.707674,5.176449,4.7265725,9
6.8082495,8.5732355,7.2355185,6.630525,3.2394893,5.25241,5.2058325,2.4271424,5.7943187,4.490672,3.250711,7.5708795,4.9499187,5.944503,5.584645,6.7948017,4.8339887,5.7845078,4.804915,6.277277,5.077036,5.1996565,4.681438,6.590655,4.217089,5.304858,4.8696384,6.737467,5.2531676,4.69588,3
9.79876,8.619334,5.9023676,2.4987707,3.2270339,5.333482,5.289931,2.5785434,5.727612,4.3253355,3.4785879,7.4332013,5.012897,5.8706837,5.7565136,6.876527,4.904506,5.8275957,4.604256,6.1569443,5.054521,5.2480392,4.743029,6.537944,4.361177,5.341663,4.726302,6.7719297,5.1095695,4.678457,1
11.517724,3.047769,7.254599,3.8651292,4.0852118,5.0864167,4.7400665,2.2469327,5.722383,4.255609,3.460372,7.3923726,5.040361,5.9558005,5.6732807,6.818366,4.6347413,5.766964,4.731254,6.297364,5.130168,5.3805566,4.828973,6.658478,4.3195605,5.3522916,4.772149,6.655756,5.217949,4.783827,7
3.68833,6.401837,2.8629477,4.862232,4.402545,6.7382674,5.010902,3.146415,5.3652077,3.6026478,3.5138776,6.8784237,4.927469,5.865722,5.982233,6.814362,5.2126656,5.7908816,4.7097826,6.1213307,5.320459,5.380921,4.862737,6.5023975,4.244363,5.636804,4.9244366,6.619079,5.2594547,4.6647005,6
10.172217,7.6484156,6.895618,2.8983521,6.189108,6.3161025,4.634502,3.2637918,4.8746853,3.8995492,3.4290144,6.855304,5.134477,5.7718525,5.7209964,6.725283,4.8410244,5.615405,4.7242007,6.214878,5.257994,5.3491335,4.6579723,6.3848014,4.1424756,5.4041753,4.8462353,6.666801,5.2867904,4.7210717,5
6.2085433,8.432828,7.0423126,6.727269,3.1843493,5.250328,5.2570367,2.5203567,5.8790193,4.5195847,3.2375207,7.6073575,4.9554234,5.9552336,5.6039205,6.7866025,4.841958,5.7955365,4.810678,6.2582784,5.073977,5.193407,4.6814585,6.589604,4.229829,5.308321,4.8835998,6.7220845,5.265883,4.6934824,3
7.406593,8.376525,7.4088063,6.129316,3.8565521,5.4058743,5.0921826,2.6316786,5.658749,4.454206,3.2521956,7.478136,5.0001307,5.930366,5.59322,6.7668824,4.802623,5.7529883,4.8092957,6.2666187,5.1021447,5.21738,4.6605196,6.5482063,4.20134,5.315446,4.8722577,6.71115,5.278008,4.704371,3
7.081094,8.6148405,7.450886,6.276824,3.6199245,5.2284203,5.1541705,2.5353966,5.760284,4.5182,3.2495627,7.548527,4.988203,5.951818,5.591439,6.776367,4.798917,5.7591434,4.8100986,6.269933,5.0854173,5.1974792,4.658663,6.5623717,4.202563,5.3080387,4.867823,6.725044,5.2741566,4.7058825,3
2.1417654,5.2809057,2.357636,5.1805487,4.2247005,6.743184,5.0893416,3.1659462,5.471033,3.5573988,3.4940321,6.952757,4.919832,5.8127947,5.998195,6.766413,5.221309,5.8195634,4.749542,6.088027,5.294837,5.4001484,4.856151,6.4918365,4.29143,5.570826,4.9175453,6.566839,5.2956123,4.695527,6
0.7465085,5.104697,7.025301,5.563394,5.9195623,5.4881387,5.036653,3.3609827,5.5731635,3.9525514,3.4358683,7.3051476,5.0091968,5.9122567,5.663104,6.599249,4.776467,5.6672983,4.8552947,6.1762557,5.214053,5.3984985,4.627249,6.447336,4.2326407,5.3154783,4.983351,6.485007,5.5372906,4.835156,0
