reduced_dim_0,reduced_dim_1,reduced_dim_2,reduced_dim_3,reduced_dim_4,label
11.626564,3.6241407,8.731225,6.721752,5.867259,7
5.6175146,8.410831,8.130658,4.016986,5.8302693,3
8.374171,8.587511,6.8548555,4.2452054,5.280237,8
11.985032,4.477024,7.1358595,5.204815,5.622844,9
5.9115796,8.2668705,8.107075,3.9327097,5.001519,3
11.902399,3.982608,7.26144,5.0915,6.1969857,9
11.892873,4.140324,8.544367,6.489412,4.90734,7
11.70829,4.0487046,8.349833,6.397806,5.616981,7
6.158034,7.4384947,6.751734,3.7781496,6.081486,5
11.719875,3.1668375,6.573957,5.553294,7.3556004,4
8.15271,7.567025,8.829625,6.921153,2.9521523,2
5.9172454,7.619515,6.8011484,3.6245613,6.3496575,5
3.9095407,6.416474,3.0264087,5.7477794,5.90072,6
7.8729944,8.155218,6.949843,4.063387,6.452606,8
9.78319,8.881578,6.5365868,8.026971,5.2661695,1
11.284149,4.753481,7.986939,6.622639,5.93917,7
11.516941,2.8869283,7.140655,5.596131,7.718439,4
6.985279,6.2423434,6.4373965,3.8399732,4.3355665,8
1.0019109,5.596605,6.5893044,4.4071054,5.1934147,0
11.802458,4.9410744,7.5721426,5.9895415,4.3847647,7
11.39997,4.0795016,7.457319,5.8589916,7.02323,9
6.171461,8.521677,7.9335113,3.7957013,6.541401,3
9.341534,9.071473,6.4673934,7.986047,6.3900003,1
11.45835,3.5327003,8.337315,6.4705925,6.0372114,7
3.6576824,6.4003444,3.1692667,5.619995,5.824406,6
10.271735,7.8592916,6.7834125,7.050935,3.0798128,5
5.5475254,8.326698,7.783614,3.7530417,6.5434093,3
6.8430176,8.341923,7.9909062,4.179706,5.788473,3
6.4091306,8.520128,8.1149435,4.105218,6.112366,3
2.2517943,5.3443017,2.6127996,5.3791904,6.389768,6
0.51622903,5.034373,7.0294013,4.523901,4.1508503,0
7.5647345,6.984251,9.285787,7.1335893,2.4226289,8
12.1935425,4.3291636,6.116725,5.1898227,4.7598286,4
11.490737,4.0228653,7.623031,5.7306447,6.8576994,9
7.0531716,6.172676,6.2241645,4.037556,4.205449,5
10.542873,7.9847193,6.568865,6.703905,2.8326416,1
8.773557,8.395994,6.720087,3.9221594,4.9431486,8
11.411734,5.3647,7.775837,6.3791246,4.4759736,7
8.805188,8.49867,6.7739015,4.2065663,5.094184,8
8.484039,8.55121,6.8104,4.0068974,5.545026,8
0.23543395,5.289828,6.761813,4.266721,5.111572,0
8.787387,8.485446,6.7438126,4.6662903,4.923827,8
8.942132,7.254044,8.381523,7.216633,3.6612732,2
0.1492973,4.849029,6.516633,4.4548864,4.7398777,0
3.518838,6.195111,3.1246057,5.617829,6.1845403,8
6.8903146,6.6848207,6.232488,3.9996893,5.303316,5
6.267635,6.9825373,6.7946544,3.7396724,5.323114,5
11.30144,4.6064377,8.309133,6.7214613,5.5782123,2
8.332325,6.970426,8.750597,7.3023973,3.3274748,2
1.4653405,5.884706,6.8921814,4.350819,5.012003,0
9.607343,8.411835,6.771175,7.889799,6.1187177,1
6.4726224,6.4965677,6.6753573,3.9143336,4.3001804,5
12.023709,4.2193503,7.5661283,5.197617,5.7607393,9
6.3850813,8.421317,8.013583,4.091701,6.0677495,3
1.1682671,5.3358407,7.2185626,4.607764,3.9487588,0
2.4589453,5.5163727,2.650822,5.4394817,6.3961034,6
8.204557,7.5929756,8.873059,6.858884,2.8083003,2
7.278274,7.127067,9.2570095,7.004251,2.87197,2
3.9187229,6.4557543,2.8759267,5.463703,5.155884,6
12.049536,3.6853628,6.434668,5.190913,6.2907686,4
0.31447247,5.200676,7.0621805,4.3505363,4.5200024,0
10.163896,8.24649,6.485802,6.9680204,2.9415085,1
8.743441,8.495834,6.7300086,4.1729875,4.8332872,8
11.7523575,3.7931206,6.5407295,5.3361793,6.706574,4
2.0844018,5.867264,6.7498736,4.634779,4.6324573,0
8.229268,7.3844676,8.617812,6.8698077,2.8532414,2
7.2002015,5.5659533,6.3484406,4.7326818,3.9347782,4
11.845127,4.489316,8.282944,6.395128,4.680646,7
11.394453,4.5144405,7.844726,6.3502727,6.103573,7
11.6154785,2.4095025,6.8238654,5.6699963,7.728045,4
12.1249275,4.1903806,6.047836,5.1973104,5.434417,4
0.74170494,5.545089,6.4921694,4.2623076,5.495166,0
10.584301,7.5652084,6.7503843,6.1289983,2.256972,1
12.327589,3.4328787,6.1179,4.9752197,5.731319,4
8.005001,8.354853,6.950504,4.076772,6.1907797,8
2.8476226,5.7440734,2.8387704,5.553171,6.53723,6
1.5577875,5.825163,6.673232,4.452064,5.070122,0
1.6990116,5.7005234,6.9900603,4.635339,4.3966694,0
1.4175547,5.596492,7.1970086,4.524816,4.2090125,0
11.929295,4.6693745,6.9200935,5.291748,5.2466154,9
3.7551358,6.3478723,3.0684068,5.7878413,6.1088905,6
6.109461,8.453345,7.9238505,4.210312,6.2613726,3
4.11683,6.5568333,3.1788354,5.5744843,5.4744315,6
11.780513,5.025664,7.0796003,5.726508,4.8251433,9
11.899042,4.696204,7.4003167,5.6240997,5.632101,9
11.644986,3.0158253,6.692317,5.7916,7.5647283,4
7.7246637,8.548112,6.9803715,4.041675,5.836449,8
3.9259598,6.2801876,2.8029537,5.475327,5.662902,6
4.14665,6.5989037,2.9438784,5.6567054,5.2348676,6
